Protein IDs,Majority protein IDs,Protein names,Gene names,Patient Measurements,Patient CVs,Average CV,Patient Count
P68036;A0A1B0GUS4,P68036;A0A1B0GUS4, Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,"{'12': [1747600000.0, 2445600000.0, 2118300000.0], '21': [1489900000.0, 1479500000.0, 1693700000.0], '25': [1819900000.0, 2001300000.0, 1663600000.0], '27': [978470000.0, 1059300000.0, 719500000.0], '31': [2875500000.0, 2775500000.0, 2890500000.0], '32': [2243900000.0, 2471200000.0, 2276200000.0], '33': [1435600000.0, 1680700000.0, 1493300000.0], '39': [1867200000.0, 1538700000.0, 1831000000.0], '89': [2034200000.0, 1826300000.0, 2026400000.0], '90': [2188400000.0, 2170800000.0, 1758400000.0], '103': [1635500000.0, 1789400000.0, 1630800000.0], '99': [1416200000.0, 1562700000.0, 1289000000.0], '73': [1303500000.0, 1228300000.0, 1273500000.0], '92': [2426600000.0, 1561400000.0, 1491200000.0], '54': [1837100000.0, 1495100000.0, 2746100000.0], '104': [1253200000.0, 1135500000.0, 944960000.0]}","{'12': 0.1355339576861941, '21': 0.06344383766077603, '25': 0.07547713317465177, '27': 0.15769719378341138, '31': 0.017928224352998366, '32': 0.04308499879111158, '33': 0.06809316189349851, '39': 0.08424929729972522, '89': 0.049033903504795716, '90': 0.09743308513204511, '103': 0.04372210225123596, '99': 0.07860782997177694, '73': 0.02436754853254197, '92': 0.2329018973983507, '54': 0.26055711260434816, '104': 0.11429260996936291}",0.0966514933754265,16
P68104;Q5VTE0,P68104;Q5VTE0, Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,"{'12': [37042000000.0, 34448000000.0, 39253000000.0], '21': [35728000000.0, 31590000000.0, 35744000000.0], '25': [43232000000.0, 46841000000.0, 33072000000.0], '27': [35753000000.0, 40255000000.0, 40189000000.0], '31': [38035000000.0, 30186000000.0, 31655000000.0], '32': [47062000000.0, 37348000000.0, 47267000000.0], '33': [34665000000.0, 32756000000.0, 30085000000.0], '39': [30555000000.0, 21179000000.0, 33121000000.0], '89': [29217000000.0, 37163000000.0, 21891000000.0], '90': [31645000000.0, 33621000000.0, 36845000000.0], '103': [29873000000.0, 33286000000.0, 31138000000.0], '99': [49729000000.0, 41380000000.0, 41416000000.0], '73': [34519000000.0, 34899000000.0, 33655000000.0], '92': [30251000000.0, 40982000000.0, 35368000000.0], '54': [22349000000.0, 20479000000.0, 24848000000.0], '104': [23774000000.0, 44431000000.0, 41188000000.0]}","{'12': 0.05319638619459318, '21': 0.056891600933492006, '25': 0.14201277283651045, '27': 0.05439587347039043, '31': 0.10233705497769656, '32': 0.10544664309603885, '33': 0.057792859667514414, '39': 0.18146505567632895, '89': 0.21195455841015587, '90': 0.06296600670531748, '103': 0.044820392121684684, '99': 0.08890319326826167, '73': 0.015149922384642205, '92': 0.1233331296981907, '54': 0.07933925286605455, '104': 0.24875166045526267}",0.1017972726726334,16
P31946,P31946, 14-3-3 protein beta/alpha,YWHAB,"{'12': [4296400000.0, 4277700000.0, 4060700000.0], '21': [5179300000.0, 3789500000.0, 4316500000.0], '25': [7175800000.0, 6871500000.0, 7365900000.0], '27': [5571800000.0, 3622400000.0, 2527000000.0], '31': [5584900000.0, 6446600000.0, 5640200000.0], '32': [6246200000.0, 5051300000.0, 6701600000.0], '33': [5852500000.0, 5580300000.0, 5571000000.0], '39': [4871400000.0, 4118100000.0, 4991900000.0], '89': [5545200000.0, 5586600000.0, 4564000000.0], '90': [5661500000.0, 6230700000.0, 4607900000.0], '103': [6287900000.0, 5608100000.0, 7147700000.0], '99': [5447600000.0, 5678600000.0, 3743400000.0], '73': [4883300000.0, 5106600000.0, 4864700000.0], '92': [3980500000.0, 3867000000.0, 5075900000.0], '54': [4622400000.0, 3134400000.0, 4013900000.0], '104': [4070100000.0, 4386900000.0, 3667900000.0]}","{'12': 0.02540012547683301, '21': 0.12936345209741035, '25': 0.028527948554939744, '27': 0.32229467244740173, '31': 0.06685648273025195, '32': 0.11599144763090452, '33': 0.02303547846764242, '39': 0.08296452165799284, '89': 0.09033037619433183, '90': 0.12223045173436443, '103': 0.09924058863355008, '99': 0.17411020779907457, '73': 0.022197428610324223, '92': 0.1265382990629943, '54': 0.15568040352451437, '104': 0.07279727359488987}",0.1035974473885887,16
P47756,P47756, F-actin-capping protein subunit beta,CAPZB,"{'12': [2530600000.0, 2070800000.0, 2176500000.0], '21': [2986900000.0, 2540600000.0, 2553600000.0], '25': [2430300000.0, 3412300000.0, 2141300000.0], '27': [1549000000.0, 1274100000.0, 1299500000.0], '31': [2199100000.0, 2217000000.0, 2178800000.0], '32': [2295300000.0, 2365900000.0, 3033900000.0], '33': [2801400000.0, 3112500000.0, 2144300000.0], '39': [2023000000.0, 2178400000.0, 2264500000.0], '89': [2768200000.0, 3006400000.0, 2123700000.0], '90': [2572000000.0, 3479700000.0, 1870000000.0], '103': [2668200000.0, 2838600000.0, 2614100000.0], '99': [2937400000.0, 2667400000.0, 2185800000.0], '73': [2554500000.0, 2211500000.0, 2330700000.0], '92': [2543600000.0, 2379400000.0, 2169700000.0], '54': [1957200000.0, 1986900000.0, 2012100000.0], '104': [1924900000.0, 2820100000.0, 3123100000.0]}","{'12': 0.0870320226725557, '21': 0.07699135995753736, '25': 0.2044060822455899, '27': 0.09026085950411446, '31': 0.007098822256311524, '32': 0.1297407217589496, '33': 0.15025371518119135, '39': 0.046367503105261776, '89': 0.1416261385820467, '90': 0.24954620022611598, '103': 0.035339670496734366, '99': 0.11970825363095373, '73': 0.060105265245549815, '92': 0.06472301560403293, '54': 0.011301457812822699, '104': 0.19395601142483318}",0.1042785687315375,16
P63261,P63261," Actin, cytoplasmic 2",ACTG1,"{'12': [176480000000.0, 136190000000.0, 154250000000.0], '21': [207510000000.0, 177330000000.0, 158180000000.0], '25': [126420000000.0, 189660000000.0, 158320000000.0], '27': [209670000000.0, 202780000000.0, 108580000000.0], '31': [197260000000.0, 242440000000.0, 246810000000.0], '32': [215490000000.0, 213040000000.0, 218870000000.0], '33': [208890000000.0, 210010000000.0, 173000000000.0], '39': [175670000000.0, 204410000000.0, 220060000000.0], '89': [207240000000.0, 259300000000.0, 145650000000.0], '90': [212720000000.0, 265080000000.0, 250820000000.0], '103': [249560000000.0, 282660000000.0, 269920000000.0], '99': [249570000000.0, 251920000000.0, 251280000000.0], '73': [280960000000.0, 245770000000.0, 295940000000.0], '92': [159780000000.0, 217560000000.0, 205990000000.0], '54': [154580000000.0, 187520000000.0, 161110000000.0], '104': [188920000000.0, 239630000000.0, 225950000000.0]}","{'12': 0.10587036539028154, '21': 0.11218372957081398, '25': 0.1632670275900404, '27': 0.2655288059994998, '31': 0.09788307061238813, '32': 0.01107581272073483, '33': 0.08712000682450206, '39': 0.09189310494190846, '89': 0.22763403598294274, '90': 0.09100259864523604, '103': 0.0509830759613937, '99': 0.003953314860165115, '73': 0.07668370285163204, '92': 0.12837495261176465, '54': 0.08489902587195583, '104': 0.0981879975239412}",0.10603378924745,16
P62879,P62879, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,"{'12': [1565400000.0, 2585400000.0, 2240800000.0], '21': [2907900000.0, 3130100000.0, 2506400000.0], '25': [3170500000.0, 3761600000.0, 3099200000.0], '27': [4191000000.0, 3105200000.0, 4485800000.0], '31': [2492400000.0, 2806600000.0, 2833200000.0], '32': [2541100000.0, 2938000000.0, 2376600000.0], '33': [3308900000.0, 3800800000.0, 3284400000.0], '39': [3239000000.0, 3131800000.0, 2961400000.0], '89': [2723400000.0, 3220300000.0, 2707500000.0], '90': [1856700000.0, 2570600000.0, 1688100000.0], '103': [2388400000.0, 2740300000.0, 2191900000.0], '99': [3307500000.0, 3380500000.0, 4746100000.0], '73': [3376700000.0, 4743600000.0, 3681300000.0], '92': [2134700000.0, 3051700000.0, 3000700000.0], '54': [2810300000.0, 2953400000.0, 2601700000.0], '104': [2586000000.0, 2224100000.0, 2289400000.0]}","{'12': 0.19884694978521905, '21': 0.09062350003685204, '25': 0.08878705371604254, '27': 0.15116193384140164, '31': 0.05709393522306511, '32': 0.08999031631550446, '33': 0.0686549974118822, '39': 0.03674520835831047, '89': 0.08255863198925234, '90': 0.18765024067831426, '103': 0.09296771763024984, '99': 0.1735933263219584, '73': 0.14894150014454197, '92': 0.15418374144837196, '54': 0.05178779802443515, '104': 0.06654668017267598}",0.1087583456936298,16
P62979;A0A2R8Y422,P62979;A0A2R8Y422, Ubiquitin-40S ribosomal protein S27a; Ubiquitin-like domain-containing protein,RPS27A;ENSG00000231767,"{'12': [7388500000.0, 8961800000.0, 6922700000.0], '21': [5818400000.0, 3666400000.0, 5609300000.0], '25': [6352400000.0, 6772000000.0, 6989100000.0], '27': [7129200000.0, 6600900000.0, 8244000000.0], '31': [9182500000.0, 9781100000.0, 7199100000.0], '32': [9862400000.0, 7573500000.0, 9055400000.0], '33': [10305000000.0, 10686000000.0, 12717000000.0], '39': [11178000000.0, 9673800000.0, 9986200000.0], '89': [5008600000.0, 5538600000.0, 4537400000.0], '90': [4497700000.0, 6196900000.0, 6298800000.0], '103': [6483100000.0, 5359200000.0, 6494700000.0], '99': [5917400000.0, 5993600000.0, 5285200000.0], '73': [5607300000.0, 4851000000.0, 4036000000.0], '92': [3893800000.0, 4285100000.0, 3561500000.0], '54': [4893600000.0, 4014900000.0, 4216000000.0], '104': [3129300000.0, 6617200000.0, 4898400000.0]}","{'12': 0.11246006953466384, '21': 0.19258084751368573, '25': 0.03941793098322491, '27': 0.09350404602386395, '31': 0.12653228390201995, '32': 0.10734275148797097, '33': 0.09422511303724995, '39': 0.06305130543560285, '89': 0.08133588320853471, '90': 0.14583487166211243, '103': 0.08712985921652318, '99': 0.055391902309312534, '73': 0.1328031837633325, '92': 0.07556870457397412, '54': 0.08592291415728032, '104': 0.29170125464183244}",0.111550182590699,16
P55072,P55072, Transitional endoplasmic reticulum ATPase,VCP,"{'12': [14554000000.0, 18459000000.0, 15441000000.0], '21': [13263000000.0, 10908000000.0, 8324100000.0], '25': [11200000000.0, 13227000000.0, 9297400000.0], '27': [10073000000.0, 12275000000.0, 13393000000.0], '31': [8998300000.0, 7463500000.0, 9121600000.0], '32': [10484000000.0, 9150000000.0, 10348000000.0], '33': [11140000000.0, 13567000000.0, 9615900000.0], '39': [7649100000.0, 6963700000.0, 9574600000.0], '89': [7838700000.0, 9585200000.0, 6782900000.0], '90': [10645000000.0, 8277700000.0, 7557800000.0], '103': [11285000000.0, 9684700000.0, 11256000000.0], '99': [13317000000.0, 11803000000.0, 11041000000.0], '73': [10293000000.0, 13015000000.0, 11613000000.0], '92': [10596000000.0, 10036000000.0, 10985000000.0], '54': [5988700000.0, 6371400000.0, 7266300000.0], '104': [7086200000.0, 10538000000.0, 8608900000.0]}","{'12': 0.10348766024794355, '21': 0.18621446142915568, '25': 0.1427323021698904, '27': 0.1157709208112582, '31': 0.08844664527844198, '32': 0.05997350713173377, '33': 0.14220897963496187, '39': 0.13708536524292253, '89': 0.14321094468547943, '90': 0.1494083803708232, '103': 0.06960100480146017, '99': 0.07847635967509035, '73': 0.09548007611273572, '92': 0.036959721623758914, '54': 0.08183380887128013, '104': 0.16152608642173516}",0.1120260140317919,16
P50395,P50395, Rab GDP dissociation inhibitor beta,GDI2,"{'12': [7242200000.0, 3662900000.0, 5407200000.0], '21': [6007300000.0, 5362500000.0, 6253300000.0], '25': [3103200000.0, 5880800000.0, 4795600000.0], '27': [4317300000.0, 3890600000.0, 3637200000.0], '31': [5960100000.0, 4844400000.0, 5607600000.0], '32': [6313000000.0, 6076300000.0, 8937800000.0], '33': [6678700000.0, 6460600000.0, 4732700000.0], '39': [4479500000.0, 4174100000.0, 6176100000.0], '89': [6366100000.0, 6399400000.0, 5071400000.0], '90': [3696200000.0, 5885100000.0, 4524900000.0], '103': [6683100000.0, 6466500000.0, 5997800000.0], '99': [5099400000.0, 5232400000.0, 5105200000.0], '73': [5695800000.0, 5512300000.0, 5909000000.0], '92': [6646700000.0, 5733800000.0, 6107000000.0], '54': [4566700000.0, 4733700000.0, 4622400000.0], '104': [5370000000.0, 6787400000.0, 6239500000.0]}","{'12': 0.26876641810982127, '21': 0.06394206669234677, '25': 0.2488344541079434, '27': 0.07107704942596346, '31': 0.08511811801971406, '32': 0.18240719411243864, '33': 0.14612445911325234, '39': 0.17815039176130315, '89': 0.10399662233692432, '90': 0.19190564884225175, '103': 0.044812310889565485, '99': 0.011927593510888736, '73': 0.02841076834766145, '92': 0.06081142343709165, '54': 0.014959396886158544, '104': 0.09516738152448241}",0.1122757060698629,16
P11142,P11142, Heat shock cognate 71 kDa protein,HSPA8,"{'12': [38444000000.0, 50184000000.0, 40987000000.0], '21': [37397000000.0, 20924000000.0, 25616000000.0], '25': [29612000000.0, 29856000000.0, 20765000000.0], '27': [34105000000.0, 34064000000.0, 45185000000.0], '31': [35132000000.0, 39080000000.0, 35913000000.0], '32': [43300000000.0, 42766000000.0, 40938000000.0], '33': [28927000000.0, 32824000000.0, 27063000000.0], '39': [25112000000.0, 24304000000.0, 28467000000.0], '89': [24425000000.0, 35474000000.0, 21642000000.0], '90': [36341000000.0, 49476000000.0, 40729000000.0], '103': [37986000000.0, 32636000000.0, 36642000000.0], '99': [53041000000.0, 44466000000.0, 43939000000.0], '73': [43965000000.0, 40401000000.0, 38396000000.0], '92': [35554000000.0, 35807000000.0, 42419000000.0], '54': [21999000000.0, 21489000000.0, 23253000000.0], '104': [17630000000.0, 30996000000.0, 31545000000.0]}","{'12': 0.11672071902515892, '21': 0.2476692754237981, '25': 0.15813444929806683, '27': 0.13849143355551796, '31': 0.04650339865171102, '32': 0.023889826241477015, '33': 0.08107629544747112, '39': 0.06942917218289853, '89': 0.21977472057524244, '90': 0.12943629379240273, '103': 0.06355715627178063, '99': 0.08848733685293399, '73': 0.05628057430145428, '92': 0.0837995637532002, '54': 0.0333165654659431, '104': 0.24076405101653361}",0.1123331769909744,16
